Sample	Contig	Mean	Covered Bases	Length	Read Count
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.14~k147_69710	0.04257735	150	3673	1
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.14~k147_103330	0.025734507	355	23465	4
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.14~k147_411025	0.0015665797	66	42280	1
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.14~k147_632722	0.0150136985	137	9275	1
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.14~k147_677651	3.516055	2099	3202	73
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_59840	0.058195926	300	5305	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_66068	0.08443569	231	3703	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_79241	0.11494253	300	2760	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_89583	0.032054707	300	9509	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_102078	0.16111708	300	2012	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_138297	0.036764707	125	3550	1
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_148673	0.029492725	292	10322	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_154694	0.06337135	150	2517	1
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_181480	0.02133567	146	6993	1
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_189651	0.14855163	538	4189	4
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_223948	0.017626323	150	8660	1
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_249363	0.09612304	300	3271	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_295733	0.0704154	261	4098	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_302741	0.04314684	260	7103	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_374294	0.07423905	294	4191	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_378736	0.22140221	284	1505	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_430155	0.12589286	282	2390	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_456921	0.052650053	283	5848	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_561266	0.032425422	150	4776	1
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_681091	0.07297494	300	4261	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_716299	0.026594138	88	3459	1
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_727097	0.10050251	250	3135	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.3~k147_738153	0.029404761	227	8550	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_4040	0.03606463	454	20946	5
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_19561	0.18674102	616	11267	14
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_28813	0.17454545	303	1800	3
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_37056	0.010417631	395	43346	3
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_40952	0.042918455	150	3645	1
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_47832	0.0030708662	78	25550	1
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_57674	0.0129390415	554	46444	4
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_63849	0.083598696	625	24959	14
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_65584	0.0033999728	300	88386	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_68549	0.004386029	247	68549	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_68958	0.0042008515	149	35619	1
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_76239	0.007419682	600	81016	4
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_76775	0.07281554	300	4270	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_84095	0.0049447524	422	85493	3
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_91609	0.014202528	300	21273	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_103213	0.016903313	150	9024	1
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_116861	0.051107325	600	11890	4
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_122910	0.023463164	256	12936	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_125461	0.05961252	423	10215	4
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_131871	0.33767274	3902	27650	62
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_139867	0.048900895	220	21622	7
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_141439	0.012964639	337	34397	3
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_149879	0.12200081	273	2609	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_149913	0.014054155	913	74861	7
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_151355	0.01917178	300	15798	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_152692	0.031134328	593	29057	6
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_199536	0.0427777	564	14176	4
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_213266	0.026189921	346	17294	3
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_231664	0.005197505	150	29010	1
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_231735	0.10710461	300	2951	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_261074	0.026905347	996	55901	10
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_273514	3.2343364	2055	2177	44
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_318688	0.003410874	300	88104	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_319165	0.031009354	477	19499	4
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_361097	0.020305943	300	14924	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_373031	0.018164754	523	33181	4
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_374890	0.010397892	300	29002	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_378836	0.12981394	300	2461	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_386790	0.048907727	807	21619	7
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_388856	0.04774029	150	3292	1
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_389701	0.010952303	595	54933	4
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_389955	0.024207214	774	37329	6
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_394119	0.10070494	242	3129	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_395314	0.018867925	149	8047	1
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_421715	0.005389344	448	83277	3
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_427916	0.16012897	298	2011	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_428790	0.0135037815	391	33474	3
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_440271	0.007442137	300	40461	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_473974	0.010760016	300	28031	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_475114	0.029994002	269	10152	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_476169	0.030072173	450	15114	3
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_482296	0.15466687	960	51137	54
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_497850	0.12970169	254	2463	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_517433	0.03463713	1636	56217	13
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_543741	0.017891286	931	58726	7
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_588278	0.2053096	563	13296	18
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_594004	0.04892368	150	3216	1
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_602790	0.02983887	300	10204	2
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_618635	1.2914832	844	1512	12
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_640236	0.0059041367	421	76029	3
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_647246	7.232247	3145	3586	167
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_654228	0.068325005	404	27768	14
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_658714	0.01861119	370	24329	3
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_676069	0.026891358	150	5728	1
sak_2011_5_24_36m_metaG-vs-bins.sorted	sak_2010_1_5_120m_metaG_bin.7~k147_687539	0.016866725	502	35723	4
