user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
Sakinaw_120m_May2011_bin.11	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__SM23-39;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_001303765.1	95.0	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__SM23-39;g__SM23-39;s__SM23-39 sp001303765	75.43	0.02	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__SM23-39;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	76.3	11	0.7790094074557564	N/A
Sakinaw_120m_May2011_bin.12	d__Bacteria;p__Omnitrophota;c__Koll11;o__4484-171;f__4484-171;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_003565945.1	95.0	d__Bacteria;p__Omnitrophota;c__Koll11;o__4484-171;f__4484-171;g__PXAH01;s__PXAH01 sp003565945	75.29	0.03	d__Bacteria;p__Omnitrophota;c__Koll11;o__4484-171;f__4484-171;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	58.41	11	0.8145368691132775	N/A
Sakinaw_120m_May2011_bin.13	d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA1572;f__UBA1572;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA1572;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	73.5	11	0.7853272541036095	N/A
Sakinaw_120m_May2011_bin.14	d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA10183;f__UBA10183;g__JABMRA01;s__	N/A	N/A	N/A	N/A	N/A	GCA_013202925.1	95.0	d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA10183;f__UBA10183;g__JABMRA01;s__JABMRA01 sp013202925	77.17	0.32	d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA10183;f__UBA10183;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	76.87	11	0.8537070706418173	N/A
Sakinaw_120m_May2011_bin.16	d__Bacteria;p__Omnitrophota;c__4484-213;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Omnitrophota;c__;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	80.68	11	0.4440336509639286	N/A
Sakinaw_120m_May2011_bin.18	d__Bacteria;p__Poribacteria;c__DTPJ01;o__DTPJ01;f__DTPJ01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011334435.1	95.0	d__Bacteria;p__Poribacteria;c__DTPJ01;o__DTPJ01;f__DTPJ01;g__DTPJ01;s__DTPJ01 sp011334435	75.53	0.06	d__Bacteria;p__Poribacteria;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	74.71	11	0.7871726216363997	N/A
Sakinaw_120m_May2011_bin.19	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA5760;g__DUEB01;s__	N/A	N/A	N/A	N/A	N/A	GCA_011176655.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA5760;g__DUEB01;s__DUEB01 sp011176655	96.61	0.62	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__Dehalococcoidales;f__UBA5760;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	52.79	11	0.9943053379216581	N/A
Sakinaw_120m_May2011_bin.2	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__QYPU01;s__QYPU01 sp007280145	GCA_007280145.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__QYPU01;s__QYPU01 sp007280145	99.39	0.76	GCA_007280145.1	95.0	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__QYPU01;s__QYPU01 sp007280145	99.39	0.76	d__Bacteria;p__Chloroflexota;c__Dehalococcoidia;o__GIF9;f__UBA5620;g__;s__	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments	N/A	68.77	11	N/A	N/A
Sakinaw_120m_May2011_bin.20	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__VadinHA17;g__LD21;s__	ANI	N/A	GCA_012729475.1, s__LD21 sp012729475, 95.0, 77.37, 0.06; GCA_003142255.1, s__LD21 sp003142255, 95.0, 76.74, 0.14; GCA_903844815.1, s__LD21 sp903844815, 95.0, 76.69, 0.08; GCA_003141715.1, s__LD21 sp003141715, 95.0, 76.67, 0.1; GCA_003157055.1, s__LD21 sp003157055, 95.0, 76.6, 0.1; GCA_001768195.1, s__LD21 sp001768195, 95.0, 76.57, 0.12; GCA_003141525.1, s__LD21 sp003141525, 95.0, 76.56, 0.1; GCA_003141495.1, s__LD21 sp003141495, 95.0, 76.44, 0.09; GCA_903824785.1, s__LD21 sp903824785, 95.0, 76.42, 0.14; GCA_002070505.1, s__LD21 sp002070505, 95.0, 76.35, 0.14; GCA_003155705.1, s__LD21 sp003155705, 95.0, 76.33, 0.07; GCA_003162595.1, s__LD21 sp003162595, 95.0, 76.29, 0.11; GCA_002319885.1, s__LD21 sp002319885, 95.0, 76.26, 0.1; GCA_012517605.1, s__LD21 sp012517605, 95.0, 76.22, 0.11; GCA_009877105.1, s__LD21 sp009877105, 95.0, 76.16, 0.07; GCA_003152835.1, s__LD21 sp003152835, 95.0, 76.16, 0.17; GCA_003157075.1, s__LD21 sp003157075, 95.0, 76.14, 0.1; GCA_003141895.1, s__LD21 sp003141895, 95.0, 76.07, 0.12; GCA_002424525.1, s__LD21 sp002424525, 95.0, 76.04, 0.11; GCA_002328625.1, s__LD21 sp002328625, 95.0, 76.02, 0.13; GCA_003520925.1, s__LD21 sp003520925, 95.0, 76.02, 0.11; GCA_003141415.1, s__LD21 sp003141415, 95.0, 76.02, 0.11; GCA_002428385.1, s__LD21 sp002428385, 95.0, 75.99, 0.06; GCA_003157015.1, s__LD21 sp003157015, 95.0, 75.95, 0.11; GCA_012519515.1, s__LD21 sp012519515, 95.0, 75.91, 0.06; GCA_003501665.1, s__LD21 sp003501665, 95.0, 75.82, 0.14; GCA_012522155.1, s__LD21 sp012522155, 95.0, 75.69, 0.06; GCA_002319915.1, s__LD21 sp002319915, 95.0, 75.49, 0.05; GCA_013314865.1, s__LD21 sp013314865, 95.0, 75.27, 0.05	59.64	11	0.9310426301076611	N/A
Sakinaw_120m_May2011_bin.22	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GCA-2711565;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	94.56	11	0.8256634899106959	N/A
