bin	completeness	contamination	GC	lineage	N50	size	binner
bin.15	100.0	0.806	0.538	Euryarchaeota	52889	1776297	binsA
bin.21	99.83	1.307	0.562	Euryarchaeota	26800	2484847	binsB
bin.17	99.34	0.653	0.541	Euryarchaeota	102274	2606014	binsB
bin.55	99.02	0.970	0.464	Archaea	70627	1790104	binsA
bin.50	98.30	1.463	0.375	Bacteria	13575	2664703	binsA
bin.52	98.29	2.991	0.532	Bacteria	30541	1867497	binsA
bin.69	97.63	0.679	0.517	Bacteria	25355	3604241	binsA
bin.8	97.58	0.0	0.565	Euryarchaeota	61707	1468073	binsA
bin.77	97.33	3.555	0.323	Bacteria	81370	1800245	binsA
bin.31	96.88	1.333	0.395	Bacteria	67729	1499262	binsA
bin.22	96.66	3.763	0.319	Bacteria	30444	4893421	binsA
bin.84	95.59	1.075	0.288	Bacteria	13124	3167905	binsA
bin.47	95.40	4.597	0.679	Bacteria	9771	3343505	binsA
bin.38	95.23	1.098	0.623	Bacteria	16471	4015557	binsB
bin.59	95.16	1.344	0.456	Bacteria	39861	3520046	binsA
bin.4	94.71	3.465	0.480	Bacteria	133754	2179440	binsA
bin.33	94.44	1.307	0.421	Euryarchaeota	9497	2371356	binsA
bin.54	94.27	2.272	0.351	Bacteria	15674	1874521	binsA
bin.5	94.02	3.225	0.464	Bacteria	30255	1946548	binsA
bin.53	93.54	1.612	0.441	Bacteria	38352	3325675	binsA
bin.3	93.24	0.705	0.622	Bacteria	19180	3830692	binsA
bin.73	92.92	0.822	0.571	Euryarchaeota	10910	2164887	binsB
bin.18	92.79	9.340	0.423	Bacteria	7988	6372499	binsA
bin.70	91.95	1.217	0.587	Bacteria	15779	5764581	binsA
bin.32	91.93	5.376	0.452	Bacteria	19909	3963043	binsA
bin.68	91.45	4.936	0.448	Bacteria	8585	1254440	binsA
bin.78	91.27	1.869	0.437	Archaea	24159	1349184	binsA
bin.25	91.07	1.290	0.485	Deltaproteobacteria	28471	1834091	binsAB
bin.75	89.87	0.934	0.451	Archaea	15881	1739565	binsA
bin.61	89.76	4.950	0.504	Bacteria	14438	2488977	binsA
bin.58	89.76	1.980	0.478	Bacteria	90313	1117826	binsA
bin.82	89.58	0.0	0.573	Bacteria	12920	2658692	binsAB
bin.62	89.52	4.054	0.366	Bacteria	17194	3037597	binsA
bin.6	89.20	2.974	0.507	Bacteria	12139	6004428	binsA
bin.48	88.44	4.455	0.603	Bacteria	11100	2337620	binsA
bin.66	88.31	1.869	0.302	Archaea	49253	1047661	binsA
bin.16	88.04	1.173	0.450	Bacteria	22200	1599950	binsA
bin.10	88.00	2.803	0.460	Archaea	51531	2572148	binsA
bin.46	87.59	4.395	0.507	Bacteria	8662	3431639	binsA
bin.81	87.53	2.336	0.581	Archaea	12129	2019580	binsA
bin.60	87.5	5.283	0.497	Bacteria	12143	4737013	binsA
bin.83	87.38	2.803	0.573	Archaea	87640	2237764	binsA
bin.14	87.09	2.248	0.451	Bacteria	12536	1123342	binsA
bin.13	87.00	3.763	0.434	Bacteria	19937	1534785	binsA
bin.24	86.60	3.620	0.558	Euryarchaeota	7161	1683624	binsB
bin.74	86.11	3.796	0.372	Bacteria	5199	2002036	binsB
bin.49	86.10	1.709	0.394	Bacteria	16315	2344910	binsAB
bin.45	85.42	3.225	0.512	Bacteria	7665	1328140	binsAB
bin.37	85.23	5.179	0.432	Deltaproteobacteria	16095	2053757	binsAB
bin.35	84.92	0.574	0.594	Bacteria	4792	3139793	binsB
bin.93	84.48	2.821	0.401	Bacteria	139578	806436	binsB
bin.11	84.05	2.702	0.392	Bacteria	6446	1179455	binsA
bin.56	83.51	1.098	0.522	Bacteria	10324	3182225	binsA
bin.57	82.79	1.984	0.471	Bacteroidetes	9385	2336401	binsA
bin.65	82.63	5.720	0.368	Bacteria	14414	1194919	binsA
bin.41	82.41	1.351	0.362	Bacteria	20976	1192625	binsAB
bin.63	82.25	6.451	0.458	Bacteria	9467	1542133	binsA
bin.42	81.84	1.260	0.530	Bacteria	11022	1860338	binsA
bin.85	81.02	0.0	0.441	Bacteria	28458	1193728	binsA
bin.26	80.0	2.272	0.592	Bacteria	16724	3900151	binsAB
bin.79	79.81	4.545	0.313	Bacteria	3962	1557905	binsA
bin.92	79.63	2.565	0.546	Bacteria	7449	1954926	binsB
bin.9	79.03	2.814	0.421	Bacteria	7039	1164258	binsA
bin.28	78.32	8.261	0.415	Bacteria	4546	3821771	binsA
bin.67	77.33	0.934	0.290	Archaea	19342	668770	binsA
bin.44	76.88	1.612	0.386	Bacteria	39552	1268961	binsA
bin.34	76.14	5.329	0.423	Bacteria	14144	736917	binsA
bin.39	76.11	1.123	0.433	Bacteria	4809	1149596	binsAB
bin.30	75.60	7.272	0.486	Bacteria	6962	2095894	binsA
bin.86	75.08	6.683	0.546	Bacteria	4639	1206896	binsB
bin.1	74.76	2.803	0.312	Archaea	35637	815584	binsA
bin.43	74.73	1.075	0.345	Bacteria	43746	953490	binsA
bin.20	74.40	5.627	0.411	Bacteria	4148	1877629	binsAB
bin.27	74.29	1.150	0.323	Archaea	88446	877937	binsA
bin.64	73.76	2.475	0.420	Bacteria	29095	875492	binsA
bin.80	73.62	1.650	0.299	Bacteria	34685	1061731	binsAB
bin.91	73.39	5.751	0.410	Bacteria	4794	1251479	binsB
bin.51	73.04	2.843	0.403	Bacteria	6581	978907	binsAB
bin.29	73.03	2.313	0.350	Bacteria	14289	1031394	binsA
bin.2	72.93	0.0	0.474	Bacteria	11543	890530	binsA
bin.76	72.88	5.932	0.574	Bacteria	6096	1254898	binsA
bin.36	72.77	1.980	0.332	Bacteria	32928	1217672	binsA
bin.23	72.41	0.156	0.409	Bacteria	16921	646969	binsA
bin.90	72.24	4.301	0.450	Bacteria	7064	937237	binsB
bin.40	71.96	2.803	0.420	Archaea	4674	750047	binsAB
bin.12	71.70	4.222	0.384	Bacteria	5628	864443	binsA
bin.7	70.79	0.990	0.414	Bacteria	40333	1173121	binsA
bin.19	70.62	5.753	0.573	Bacteria	4823	919137	binsA
bin.71	70.30	2.644	0.376	Bacteria	18481	1143286	binsA
bin.72	70.09	0.0	0.313	Archaea	56682	638827	binsA
