genome,length,breadth,coverage,reads
Sakinaw_120m_May2011_bin.10,2572148,0.0032260974096358377,0.0037464977287501736,64
Sakinaw_120m_May2011_bin.11,1179455,0.004208723520609095,0.007016423552517051,56
Sakinaw_120m_May2011_bin.13,1534785,0.016329974556696866,0.05908426580763957,600
Sakinaw_120m_May2011_bin.14,1123342,0.0026011668752703985,0.0041882704738975315,35
Sakinaw_120m_May2011_bin.15,1776297,0.012072305475942367,0.013492118018711455,161
Sakinaw_120m_May2011_bin.16,1599950,0.0023631988499640613,0.004439599254886277,51
Sakinaw_120m_May2011_bin.17,2606014,0.03597908530038595,0.14922415028179933,2566
Sakinaw_120m_May2011_bin.18,6372499,0.421246358767573,0.9954854507622624,41715
Sakinaw_120m_May2011_bin.22,4893421,0.016809303757023972,0.1671263429711008,5278
Sakinaw_120m_May2011_bin.28,3821771,0.03315138452827236,0.3557514670739303,8743
Sakinaw_120m_May2011_bin.3,3830692,0.9293803834920688,4.485204890699628,114755
Sakinaw_120m_May2011_bin.30,2095894,0.0011951940317592397,0.005124634393602444,72
Sakinaw_120m_May2011_bin.38,4015557,0.588060635174647,1.171788720426111,31422
Sakinaw_120m_May2011_bin.39,1149596,0.014077989137053364,0.01583367580979761,121
Sakinaw_120m_May2011_bin.41,1192625,0.007435698564091814,0.011717511487637776,96
Sakinaw_120m_May2011_bin.42,1860338,0.017564550097885438,0.02107894537330453,264
Sakinaw_120m_May2011_bin.44,1268961,0.03981446238300468,0.15088536696661836,1259
Sakinaw_120m_May2011_bin.45,1328140,0.1213283238212839,0.1826186518986861,1603
Sakinaw_120m_May2011_bin.47,3343505,0.21669505503954684,0.3443451341489681,7659
Sakinaw_120m_May2011_bin.5,1946548,0.028912721391920467,0.03462788448031129,449
Sakinaw_120m_May2011_bin.50,2664703,0.03810143194194625,0.06653101224064785,1154
Sakinaw_120m_May2011_bin.52,1867497,0.6503844450620269,1.1905864347398896,14871
Sakinaw_120m_May2011_bin.53,3325675,0.0280237846452224,0.5488153470798373,12035
Sakinaw_120m_May2011_bin.54,1874521,0.05434081560035871,0.24926566112823167,3064
Sakinaw_120m_May2011_bin.55,1790104,0.0004424323949893414,0.0005882767262702615,7
Sakinaw_120m_May2011_bin.56,3182225,0.03329211479389421,0.05585148879900464,1172
Sakinaw_120m_May2011_bin.57,2336401,0.0515883189572338,0.20156689669827108,3145
Sakinaw_120m_May2011_bin.58,1117826,0.005919525936952621,0.009744171473005995,82
Sakinaw_120m_May2011_bin.6,6004428,0.011675217023170233,0.037950919644852386,1499
Sakinaw_120m_May2011_bin.62,3037597,0.012963865845271772,0.029309033104251012,580
Sakinaw_120m_May2011_bin.63,1542133,0.8486414595887644,5.390830560032961,55105
Sakinaw_120m_May2011_bin.65,1194919,0.05315757804503904,0.09089678749056614,720
Sakinaw_120m_May2011_bin.66,1047661,0.05340277055268832,0.062399254126929406,435
Sakinaw_120m_May2011_bin.67,668770,0.0044858471522347,0.006012734685497855,26
Sakinaw_120m_May2011_bin.68,1254440,0.005617646120978285,0.01608486708900067,134
Sakinaw_120m_May2011_bin.69,3604241,0.9591986218457644,3.9552284109400015,95129
Sakinaw_120m_May2011_bin.70,5764581,0.0384846704383198,0.09882388061595543,3763
Sakinaw_120m_May2011_bin.78,1349184,0.004286294530619989,0.004770475100898544,44
Sakinaw_120m_May2011_bin.81,2019580,0.0013814753562621932,0.0015043634554600459,20
Sakinaw_120m_May2011_bin.82,2658692,0.8225868208878652,2.0424161978917907,36163
Sakinaw_120m_May2011_bin.83,2237764,0.00013361551977777818,0.0001338151019529763,2
Sakinaw_120m_May2011_bin.84,3167905,0.014502644492180163,0.07080712635493865,1462
Sakinaw_120m_May2011_bin.93,806436,0.009550664900872481,0.018720415509875552,101
sak_2010_1_5_120m_metaG_bin.14,1918654,0.0018200259140001272,0.006752378368040095,84
sak_2010_1_5_120m_metaG_bin.3,1464818,0.06952194743647333,0.08510734981072668,816
sak_2010_1_5_120m_metaG_bin.7,2888460,0.05124495405856408,0.11857606942670225,2266
sak_2010_1_5_45m_metaG_bin.11,2159142,0.5131140054706916,1.3639897306289208,19445
sak_2010_1_5_45m_metaG_bin.12,2673553,0.32506406269110805,1.1480251458766824,20388
sak_2010_1_5_45m_metaG_bin.17,2020313,0.13379609991125138,0.3658943389239466,4844
