binID,GTDB_classification,Group,Phylum,completeness,contamination,heterogeneity,sample,Reads_mapped,reads_proportion
sak_2010_1_5_120m.69,d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__SCGC-AAA252-I15;f__SCGC-AAA252-I15;g__SCGC-AAA252-I15;s__SCGC-AAA252-I15 sp000402775,Archaea,Altiarchaea,88.01,0.07,0,sak-2010-01-05,148543,0.297458364
sak_2011_5_24_120m.44,d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__SCGC-AAA252-I15;f__SCGC-AAA252-I15;g__SCGC-AAA252-I15;s__SCGC-AAA252-I15 sp000402775,Archaea,Altiarchaea,88.94,1.87,50,sak-2011-05-24,255481,0.492829083
sak_2013_06_06_120m.25,d__Archaea;p__Altiarchaeota;c__Altiarchaeia;o__SCGC-AAA252-I15;f__SCGC-AAA252-I15;g__SCGC-AAA252-I15;s__SCGC-AAA252-I15 sp000402775,Archaea,Altiarchaea,91.74,0.93,100,sak-2013-06-06,186474,0.342523073
sak_2010_1_5_120m.21,d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__RBG-16-57-9;s__,Archaea,Crenarchaea,92.68,3.74,20,sak-2010-01-05,230513,0.461603845
sak_2011_5_24_120m.1,d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__RBG-16-57-9;s__,Archaea,Crenarchaea,76.3,3.88,20,sak-2011-05-24,106313,0.205080371
sak_2013_06_06_120m.48,d__Archaea;p__Crenarchaeota;c__Bathyarchaeia;o__TCS64;f__TCS64;g__RBG-16-57-9;s__,Archaea,Crenarchaea,80.92,3.35,0,sak-2013-06-06,135567,0.249015012
sak_2010_1_5_120m.44,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__;s__,Archaea,Halobacteria,95.05,1.68,50,sak-2010-01-05,422163,0.845384269
sak_2011_5_24_120m.18,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__;s__,Archaea,Halobacteria,99.67,1.96,33.33,sak-2011-05-24,322877,0.622837612
sak_2013_06_06_120m.5,d__Archaea;p__Halobacterota;c__Methanomicrobia;o__Methanomicrobiales;f__Methanospirillaceae;g__;s__,Archaea,Halobacteria,99.02,1.31,0,sak-2013-06-06,361286,0.663624907
sak_2010_1_5_120m.40,d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__;s__,Archaea,Halobacteria,51.65,0.87,0,sak-2010-01-05,44865,0.089842467
sak_2011_5_24_120m.50,d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__;s__,Archaea,Halobacteria,96.73,0.98,0,sak-2011-05-24,158062,0.304905455
sak_2013_06_06_120m.66,d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__;s__,Archaea,Halobacteria,91.65,2.34,20,sak-2013-06-06,121738,0.223613339
sak_2010_1_5_120m.15,d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix_A;s__,Archaea,Halobacteria,97.53,0.99,0,sak-2010-01-05,235100,0.470789344
sak_2011_5_24_120m.63,d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix_A;s__,Archaea,Halobacteria,96.22,1.97,20,sak-2011-05-24,246826,0.476133377
sak_2013_06_06_120m.76,d__Archaea;p__Halobacterota;c__Methanosarcinia;o__Methanotrichales;f__Methanotrichaceae;g__Methanothrix_A;s__,Archaea,Halobacteria,93.59,0.99,0,sak-2013-06-06,315389,0.57931942
sak_2010_1_5_120m.60,d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__ANME-1;f__;g__;s__,Archaea,Halobacteria,83.66,3.27,0,sak-2010-01-05,157837,0.316069662
sak_2011_5_24_120m.40,d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__ANME-1;f__;g__;s__,Archaea,Halobacteria,83.78,4.14,0,sak-2011-05-24,153914,0.296903862
sak_2013_06_06_120m.47,d__Archaea;p__Halobacterota;c__Syntrophoarchaeia;o__ANME-1;f__;g__;s__,Archaea,Halobacteria,86.58,3.27,0,sak-2013-06-06,211428,0.388359601
sak_2010_1_5_120m.57,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__;g__;s__,Archaea,Nanoarchaea,67.68,5.61,16.67,sak-2010-01-05,296651,0.594045638
sak_2011_5_24_120m.49,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__;g__;s__,Archaea,Nanoarchaea,58.8,0,0,sak-2011-05-24,167648,0.323397083
sak_2013_06_06_120m.42,d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Pacearchaeales;f__;g__;s__,Archaea,Nanoarchaea,64.41,0,0,sak-2013-06-06,135462,0.248822144
