genome,length,breadth,coverage,reads
Sakinaw_120m_May2011_bin.10,2572148,0.9544003688745749,3.4688204392022133,59771
Sakinaw_120m_May2011_bin.11,1179455,0.7875476385279642,1.804322099091623,14095
Sakinaw_120m_May2011_bin.13,1534785,0.5429574826441489,0.9148223298743858,9364
Sakinaw_120m_May2011_bin.14,1123342,0.9594789476401666,3.7306814046834345,27938
Sakinaw_120m_May2011_bin.15,1776297,0.9424724581531129,3.2376384844264234,38696
Sakinaw_120m_May2011_bin.16,1599950,0.7753667302103191,1.7059953913747303,18287
Sakinaw_120m_May2011_bin.17,2606014,0.9703639351131652,4.132112467218593,72450
Sakinaw_120m_May2011_bin.18,6372499,0.9333657015873992,3.705479058506694,156400
Sakinaw_120m_May2011_bin.22,4893421,0.987245528230659,6.302923466343035,205355
Sakinaw_120m_May2011_bin.28,3821771,0.7647048972845312,1.8348267349118657,46012
Sakinaw_120m_May2011_bin.3,3830692,0.998062230009617,13.125568287810266,337865
Sakinaw_120m_May2011_bin.30,2095894,0.9742343839907934,5.210959378849357,72156
Sakinaw_120m_May2011_bin.38,4015557,0.9787840142724907,5.241847254605872,141355
Sakinaw_120m_May2011_bin.39,1149596,0.9061731251674501,3.0073073889766495,22725
Sakinaw_120m_May2011_bin.41,1192625,0.9819490619431925,4.720518659724641,37521
Sakinaw_120m_May2011_bin.42,1860338,0.9573754876801958,3.977680200133577,49379
Sakinaw_120m_May2011_bin.44,1268961,0.9592800724372144,4.032080149530362,34181
Sakinaw_120m_May2011_bin.45,1328140,0.8746329453220293,2.5240846554381315,22276
Sakinaw_120m_May2011_bin.47,3343505,0.8207402112453847,2.096597380250899,46989
Sakinaw_120m_May2011_bin.5,1946548,0.8362716973842926,2.048833574022012,26785
Sakinaw_120m_May2011_bin.50,2664703,0.7577354774622163,1.7857689074625662,31701
Sakinaw_120m_May2011_bin.52,1867497,0.9808835034273148,4.536556803081933,56811
Sakinaw_120m_May2011_bin.53,3325675,0.84375442579326,2.097761363370323,46685
