user_genome	classification	fastani_reference	fastani_reference_radius	fastani_taxonomy	fastani_ani	fastani_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
Sakinaw_120m_May2011_bin.11	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__SM23-39;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_001303765.1	95.0	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__SM23-39;g__SM23-39;s__SM23-39 sp001303765	75.43	0.02	d__Bacteria;p__Chlamydiota;c__Chlamydiia;o__Chlamydiales;f__SM23-39;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	76.3	11	0.7790094074557564	N/A
Sakinaw_120m_May2011_bin.13	d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA1572;f__UBA1572;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA1572;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	73.5	11	0.7853272541036095	N/A
Sakinaw_120m_May2011_bin.14	d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA10183;f__UBA10183;g__JABMRA01;s__	N/A	N/A	N/A	N/A	N/A	GCA_013202925.1	95.0	d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA10183;f__UBA10183;g__JABMRA01;s__JABMRA01 sp013202925	77.17	0.32	d__Bacteria;p__Omnitrophota;c__Koll11;o__UBA10183;f__UBA10183;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	76.87	11	0.8537070706418173	N/A
Sakinaw_120m_May2011_bin.16	d__Bacteria;p__Omnitrophota;c__4484-213;o__;f__;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Omnitrophota;c__;o__;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	80.68	11	0.4440336509639286	N/A
Sakinaw_120m_May2011_bin.18	d__Bacteria;p__Poribacteria;c__DTPJ01;o__DTPJ01;f__DTPJ01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_011334435.1	95.0	d__Bacteria;p__Poribacteria;c__DTPJ01;o__DTPJ01;f__DTPJ01;g__DTPJ01;s__DTPJ01 sp011334435	75.53	0.06	d__Bacteria;p__Poribacteria;c__;o__;f__;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	74.71	11	0.7871726216363997	N/A
Sakinaw_120m_May2011_bin.22	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__GCA-2711565;g__;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__;g__;s__	taxonomic novelty determined using RED	N/A	N/A	94.56	11	0.8256634899106959	N/A
Sakinaw_120m_May2011_bin.28	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Mariniphaga;s__	N/A	N/A	N/A	N/A	N/A	GCF_003573545.1	95.0	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Mariniphaga;s__Mariniphaga sediminis	77.18	0.14	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prolixibacteraceae;g__Mariniphaga;s__	taxonomic classification defined by topology and ANI	N/A	GCF_900129025.1, s__Mariniphaga anaerophila, 95.0, 76.94, 0.11	60.39	11	0.9649920403846589	N/A
Sakinaw_120m_May2011_bin.3	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__JAAYNR01;g__;s__	N/A	N/A	N/A	N/A	N/A	GCA_012520735.1	95.0	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__JAAYNR01;g__JAAYNR01;s__JAAYNR01 sp012520735	76.13	0.04	d__Bacteria;p__Verrucomicrobiota;c__Kiritimatiellae;o__RFP12;f__JAAYNR01;g__;s__	taxonomic classification defined by topology and ANI	N/A	N/A	82.37	11	0.8251026599168608	N/A
Sakinaw_120m_May2011_bin.30	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Brevefilum;s__	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__Anaerolineaceae;g__Brevefilum;s__	ANI	N/A	GCA_003542325.1, s__Brevefilum sp003542325, 95.0, 76.71, 0.08; GCA_011620555.1, s__Brevefilum sp011620555, 95.0, 76.7, 0.13; GCA_003563055.1, s__Brevefilum sp003563055, 95.0, 76.64, 0.05; GCA_002436005.1, s__Brevefilum sp002436005, 95.0, 76.46, 0.09; GCA_007119455.1, s__Brevefilum sp007119455, 95.0, 76.34, 0.05; GCA_002452315.1, s__Brevefilum sp002452315, 95.0, 76.26, 0.08; GCA_001508595.1, s__Brevefilum sp001508595, 95.0, 76.23, 0.09; GCA_002403205.1, s__Brevefilum sp002403205, 95.0, 76.11, 0.1; GCA_012522475.1, s__Brevefilum sp012522475, 95.0, 76.04, 0.05; GCA_007135845.1, s__Brevefilum sp007135845, 95.0, 75.72, 0.07; GCF_900184705.1, s__Brevefilum fermentans, 95.0, 75.61, 0.07	62.85	11	0.9329182794029034	N/A
Sakinaw_120m_May2011_bin.38	d__Bacteria;p__WOR-3;c__WOR-3;o__UBA2258;f__UBA2258;g__UBA2258;s__	N/A	N/A	N/A	N/A	N/A	GCA_002347155.1	95.0	d__Bacteria;p__WOR-3;c__WOR-3;o__UBA2258;f__UBA2258;g__UBA2258;s__UBA2258 sp002347155	80.88	0.54	d__Bacteria;p__WOR-3;c__WOR-3;o__UBA2258;f__UBA2258;g__UBA2258;s__	taxonomic classification defined by topology and ANI	N/A	GCA_903908785.1, s__UBA2258 sp903908785, 95.0, 80.89, 0.45	88.49	11	0.951129336287136	N/A
