bin	completeness	contamination	GC	lineage	N50	size	binner
bin.23	99.18	1.307	0.560	Euryarchaeota	34250	2542431	binsB
bin.11	98.21	3.571	0.364	Bacteria	147416	1650167	binsB
bin.2	97.33	2.666	0.393	Bacteria	63544	1686657	binsB
bin.13	96.66	2.888	0.322	Bacteria	57842	1679328	binsAB
bin.28	96.59	0.806	0.457	Bacteria	25455	3398297	binsB
bin.20	96.12	2.580	0.483	Deltaproteobacteria	32055	2201862	binsAB
bin.27	96.05	1.098	0.381	Bacteria	6701	2193175	binsB
bin.22	94.80	6.043	0.504	Bacteria	12449	3955157	binsA
bin.4	94.59	4.083	0.620	Bacteria	20612	4309717	binsA
bin.6	94.52	0.990	0.482	Bacteria	256829	2092271	binsA
bin.19	94.38	1.980	0.531	Bacteria	78997	1407478	binsA
bin.9	93.09	2.631	0.526	Euryarchaeota	14833	1916201	binsA
bin.30	90.34	0.071	0.535	Archaea	15247	1337795	binsB
bin.10	89.94	2.564	0.395	Bacteria	25340	2478978	binsAB
bin.12	89.13	5.977	0.458	Bacteria	13395	1315807	binsA
bin.21	88.44	0.990	0.446	Bacteria	28535	1604172	binsA
bin.18	87.00	1.253	0.593	Bacteria	4470	2913797	binsA
bin.3	85.45	2.272	0.587	Bacteria	24754	4668892	binsA
bin.24	85.10	4.945	0.422	Bacteria	13153	3229663	binsAB
bin.17	81.55	6.235	0.410	Bacteria	9084	1355845	binsAB
bin.25	78.73	6.896	0.423	Bacteria	13791	784446	binsAB
bin.33	78.68	3.737	0.463	Deltaproteobacteria	5963	2904877	binsAB
bin.5	78.21	1.740	0.299	Bacteria	37330	1143257	binsAB
bin.7	77.29	4.050	0.408	Bacteria	3796	1930603	binsAB
bin.26	75.28	4.034	0.321	Bacteria	20106	645640	binsA
bin.8	75.23	1.401	0.333	Archaea	14951	845920	binsAB
bin.14	74.40	2.580	0.442	Deltaproteobacteria	46953	1712637	binsAB
bin.35	74.15	2.808	0.350	Bacteria	8772	1060875	binsB
bin.31	73.18	1.818	0.317	Bacteria	22873	1055835	binsA
bin.32	72.04	1.401	0.335	Archaea	29044	799898	binsAB
bin.36	71.83	3.448	0.433	Bacteria	17718	448001	binsB
bin.15	71.76	4.595	0.397	Bacteria	4871	1493076	binsAB
bin.29	71.58	4.620	0.386	Bacteria	46234	963302	binsA
bin.16	70.82	2.586	0.396	Bacteria	70888	583176	binsA
bin.34	70.46	0.0	0.376	Bacteria	30492	554131	binsB
bin.1	70.11	2.706	0.626	Bacteria	4094	2579344	binsA
